SKU,Name,Description,OriginalPrice,SellingPrice,Availability,size,productLine,ColorID,CategoryID
FJ5089,Beach Shorts,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.,69.0,40,InStock,XXL,Women,CL00213,CT004
BC0770,Five Ten Kestrel Lace Mountain Bike Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.,69.0,150,InStock,L,Women,CL00092,CT005
GC7946,Mexico Away Jersey,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team.",69.0,70,InStock,M,Kids,CL00056,CT006
FV4744,Five Ten Hiangle Pro Competition Climbing Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems.",69.0,160,InStock,XXL,Five Ten,CL00118,CT007
GM0239,Mesh Broken-Stripe Polo Shirt,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste.",69.0,65,InStock,L,Men,CL00129,CT008
FX7449,EQT Spikeless Golf Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste.",69.0,110,InStock,M,Women,CL00071,CT009
GM5505,Adicross Hybrid Shorts,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next.",69.0,80,InStock,S,Men,CL00059,CT010
GP4975,Tiro 21 Windbreaker,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste.",69.0,60,InStock,XL,Kids,CL00010,CT011
FS3923,Classic 3-Stripes Swimsuit,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look.",69.0,40,InStock,M,Women,CL00059,CT012
GP4967,Tiro 21 Windbreaker,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down.",69.0,65,InStock,XL,Men,CL00016,CT011
GL1127,Formotion Sculpt Biker Short Tights,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins.",69.0,60,InStock,XL,Women,CL00064,CT013
B93219,Athletic Cushioned Crew Socks 6 Pairs,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry.",69.0,20,InStock,XXL,Men,CL00172,CT014
